flight_number,aircraft_registration,origin,destination,scheduled_departure,scheduled_arrival,actual_departure,actual_arrival,status,gate,delay_minutes,passengers_booked
TU638,TS-IMC,Tunis,London,2025-10-04 07:55:00,2025-10-04 10:57:00,2025-10-04 08:00:00,2025-10-04 10:55:00,landed,B24,5,135
TU639,TS-IME,Djerba,Algiers,2025-10-04 07:59:00,2025-10-04 10:03:00,,,delayed,D5,10,82
TU640,TS-IMD,Enfidha,Algiers,2025-10-04 08:34:00,2025-10-04 10:28:00,,,cancelled,B3,0,0
TU641,TS-IMC,Monastir,Frankfurt,2025-10-04 09:10:00,2025-10-04 11:17:00,2025-10-04 09:30:00,2025-10-04 11:31:00,landed,C11,20,111
TU642,TS-IOD,Tunis,Geneva,2025-10-04 12:29:00,2025-10-04 13:43:00,,,delayed,B14,15,96
TU643,TS-IOA,Sfax,Milan,2025-10-04 14:06:00,2025-10-04 16:22:00,2025-10-04 14:11:00,2025-10-04 16:26:00,landed,D23,5,126
TU644,TS-IOA,Sfax,Barcelona,2025-10-04 14:34:00,2025-10-04 17:18:00,2025-10-04 14:34:00,2025-10-04 17:18:00,landed,D2,0,137
TU645,TS-IMD,Sfax,Istanbul,2025-10-04 15:08:00,2025-10-04 19:45:00,2025-10-04 15:28:00,2025-10-04 20:02:00,landed,C15,20,139
TU646,TS-IOC,Sfax,Amsterdam,2025-10-04 16:27:00,2025-10-04 19:55:00,2025-10-04 16:42:00,2025-10-04 20:02:00,landed,A7,15,138
TU647,TS-IOC,Enfidha,Tripoli,2025-10-04 17:35:00,2025-10-04 19:20:00,2025-10-04 17:40:00,2025-10-04 19:24:00,landed,D12,5,129
TU648,TS-IOA,Monastir,Barcelona,2025-10-04 19:29:00,2025-10-04 21:45:00,2025-10-04 19:49:00,2025-10-04 21:56:00,landed,B20,20,103
TU649,TS-IOD,Enfidha,Paris,2025-10-04 20:07:00,2025-10-04 22:06:00,2025-10-04 20:07:00,2025-10-04 22:21:00,landed,D4,0,64
TU650,TS-IMD,Tunis,Amsterdam,2025-10-04 20:23:00,2025-10-04 23:40:00,2025-10-04 20:23:00,2025-10-04 23:57:00,landed,D24,0,106
TU651,TS-IOA,Sfax,Nice,2025-10-05 07:37:00,2025-10-05 08:45:00,2025-10-05 07:47:00,2025-10-05 08:59:00,landed,D11,10,169
TU652,TS-IMF,Djerba,Abu Dhabi,2025-10-05 08:35:00,2025-10-05 13:20:00,2025-10-05 08:50:00,2025-10-05 13:27:00,landed,A5,15,83
TU653,TS-IOA,Sfax,Milan,2025-10-05 09:30:00,2025-10-05 10:39:00,2025-10-05 09:50:00,2025-10-05 10:38:00,landed,B18,20,23
TU654,TS-IOD,Djerba,Algiers,2025-10-05 10:18:00,2025-10-05 12:38:00,2025-10-05 10:23:00,2025-10-05 12:55:00,landed,B7,5,114
TU655,TS-IOD,Djerba,Barcelona,2025-10-05 13:34:00,2025-10-05 15:53:00,2025-10-05 13:39:00,2025-10-05 16:02:00,landed,D3,5,104
TU656,TS-IME,Monastir,Doha,2025-10-05 16:09:00,2025-10-05 19:47:00,,,delayed,C7,25,141
TU657,TS-IMC,Sfax,London,2025-10-05 16:45:00,2025-10-05 19:08:00,2025-10-05 17:05:00,2025-10-05 19:14:00,landed,C10,20,19
TU658,TS-IMB,Sfax,Casablanca,2025-10-05 19:55:00,2025-10-05 22:30:00,,,delayed,A24,10,86
TU659,TS-IMF,Enfidha,Madrid,2025-10-05 20:09:00,2025-10-05 23:07:00,2025-10-05 20:19:00,2025-10-05 23:07:00,landed,B20,10,93
TU660,TS-IOC,Enfidha,Brussels,2025-10-05 20:47:00,2025-10-05 22:41:00,2025-10-05 20:57:00,2025-10-05 22:39:00,landed,C4,10,36
TU661,TS-IOA,Enfidha,Frankfurt,2025-10-06 06:27:00,2025-10-06 08:45:00,2025-10-06 06:37:00,2025-10-06 08:50:00,landed,B6,10,153
TU662,TS-IMF,Enfidha,Tripoli,2025-10-06 06:28:00,2025-10-06 07:55:00,2025-10-06 06:43:00,2025-10-06 08:10:00,landed,C5,15,61
TU663,TS-IMD,Tunis,Marseille,2025-10-06 07:56:00,2025-10-06 09:11:00,2025-10-06 07:56:00,2025-10-06 09:28:00,landed,C23,0,40
TU664,TS-IMD,Sfax,Amsterdam,2025-10-06 12:23:00,2025-10-06 15:01:00,2025-10-06 12:43:00,2025-10-06 15:03:00,landed,D9,20,119
TU665,TS-IME,Tunis,Barcelona,2025-10-06 13:17:00,2025-10-06 15:38:00,,,cancelled,B9,0,0
TU666,TS-IME,Monastir,Dubai,2025-10-06 15:04:00,2025-10-06 19:03:00,2025-10-06 15:04:00,2025-10-06 19:18:00,landed,D4,0,38
TU667,TS-IMD,Sfax,Lyon,2025-10-06 15:11:00,2025-10-06 17:18:00,2025-10-06 15:26:00,2025-10-06 17:19:00,landed,A20,15,126
TU668,TS-IMD,Djerba,Marseille,2025-10-06 16:17:00,2025-10-06 18:06:00,2025-10-06 16:32:00,2025-10-06 18:04:00,landed,B9,15,95
TU669,TS-IOA,Enfidha,Casablanca,2025-10-06 20:39:00,2025-10-06 23:05:00,2025-10-06 20:39:00,2025-10-06 23:09:00,landed,A8,0,130
TU670,TS-IOE,Monastir,Marseille,2025-10-06 21:05:00,2025-10-06 22:15:00,2025-10-06 21:05:00,2025-10-06 22:21:00,landed,D23,0,31
TU671,TS-IOC,Monastir,Venice,2025-10-06 21:32:00,2025-10-06 22:44:00,2025-10-06 21:32:00,2025-10-06 23:02:00,landed,C21,0,37
TU672,TS-IME,Tunis,Frankfurt,2025-10-07 07:09:00,2025-10-07 09:50:00,,,delayed,A4,10,104
TU673,TS-IMD,Tunis,Paris,2025-10-07 09:53:00,2025-10-07 11:15:00,2025-10-07 09:58:00,2025-10-07 11:29:00,landed,D5,5,129
TU674,TS-IMF,Sfax,Frankfurt,2025-10-07 09:59:00,2025-10-07 13:13:00,2025-10-07 09:59:00,2025-10-07 13:31:00,landed,C14,0,135
TU675,TS-IME,Sfax,Milan,2025-10-07 10:07:00,2025-10-07 12:16:00,2025-10-07 10:07:00,2025-10-07 12:21:00,landed,D24,0,89
TU676,TS-IOC,Djerba,London,2025-10-07 10:36:00,2025-10-07 13:31:00,2025-10-07 10:41:00,2025-10-07 13:38:00,landed,B19,5,181
TU677,TS-IMC,Enfidha,Rome,2025-10-07 12:30:00,2025-10-07 13:33:00,2025-10-07 12:40:00,2025-10-07 13:37:00,landed,B8,10,123
TU678,TS-IMC,Djerba,Cairo,2025-10-07 14:22:00,2025-10-07 18:21:00,2025-10-07 14:27:00,2025-10-07 18:31:00,landed,D7,5,142
TU679,TS-IOB,Enfidha,Nice,2025-10-07 16:25:00,2025-10-07 18:38:00,2025-10-07 16:45:00,2025-10-07 18:37:00,landed,D12,20,167
TU680,TS-IOA,Tunis,Dubai,2025-10-07 19:26:00,2025-10-08 00:17:00,2025-10-07 19:26:00,2025-10-08 00:27:00,landed,C5,0,60
TU681,TS-IOE,Djerba,Madrid,2025-10-07 22:25:00,2025-10-08 01:19:00,,,delayed,D21,25,58
TU682,TS-IOB,Sfax,Venice,2025-10-08 12:09:00,2025-10-08 13:29:00,2025-10-08 12:14:00,2025-10-08 13:33:00,landed,A15,5,112
TU683,TS-IMD,Djerba,Frankfurt,2025-10-08 12:53:00,2025-10-08 15:30:00,,,cancelled,B8,0,0
TU684,TS-IOC,Sfax,Abu Dhabi,2025-10-08 15:05:00,2025-10-08 18:52:00,2025-10-08 15:25:00,2025-10-08 18:52:00,landed,B14,20,138
TU685,TS-IOE,Sfax,Istanbul,2025-10-08 15:48:00,2025-10-08 19:18:00,2025-10-08 16:03:00,2025-10-08 19:18:00,landed,D13,15,173
TU686,TS-IOE,Tunis,Venice,2025-10-08 16:31:00,2025-10-08 17:54:00,,,delayed,B22,60,124
TU687,TS-IOA,Djerba,Abu Dhabi,2025-10-08 16:43:00,2025-10-08 20:30:00,2025-10-08 17:03:00,2025-10-08 20:41:00,landed,D6,20,49
TU688,TS-IOC,Djerba,Munich,2025-10-08 18:22:00,2025-10-08 21:04:00,2025-10-08 18:32:00,2025-10-08 21:09:00,landed,A9,10,95
TU689,TS-IMD,Monastir,Brussels,2025-10-08 20:11:00,2025-10-08 21:26:00,2025-10-08 20:11:00,2025-10-08 21:23:00,landed,A5,0,170
TU690,TS-IOB,Tunis,Tripoli,2025-10-08 20:50:00,2025-10-08 22:27:00,2025-10-08 21:10:00,2025-10-08 22:28:00,landed,C11,20,27
TU691,TS-IOC,Tunis,Abu Dhabi,2025-10-08 20:58:00,2025-10-09 00:06:00,2025-10-08 21:13:00,2025-10-09 00:11:00,landed,D3,15,137
TU692,TS-IOD,Monastir,Venice,2025-10-09 07:03:00,2025-10-09 08:09:00,2025-10-09 07:23:00,2025-10-09 08:13:00,landed,B22,20,82
TU693,TS-IME,Sfax,Geneva,2025-10-09 07:52:00,2025-10-09 09:27:00,2025-10-09 07:52:00,2025-10-09 09:28:00,landed,A1,0,115
TU694,TS-IOD,Tunis,Cairo,2025-10-09 07:54:00,2025-10-09 11:07:00,2025-10-09 08:09:00,2025-10-09 11:11:00,landed,B8,15,122
TU695,TS-IMB,Djerba,Amsterdam,2025-10-09 08:03:00,2025-10-09 10:15:00,2025-10-09 08:03:00,2025-10-09 10:19:00,landed,A19,0,132
TU696,TS-IOA,Enfidha,Lyon,2025-10-09 08:39:00,2025-10-09 10:35:00,2025-10-09 08:39:00,2025-10-09 10:48:00,landed,A7,0,85
TU697,TS-IOB,Tunis,Barcelona,2025-10-09 09:59:00,2025-10-09 12:14:00,2025-10-09 09:59:00,2025-10-09 12:11:00,landed,D11,0,139
TU698,TS-IOE,Djerba,Paris,2025-10-09 10:56:00,2025-10-09 12:34:00,2025-10-09 10:56:00,2025-10-09 12:46:00,landed,D20,0,176
TU699,TS-IMD,Sfax,Lyon,2025-10-09 11:55:00,2025-10-09 14:07:00,2025-10-09 12:15:00,2025-10-09 14:22:00,landed,A22,20,158
TU700,TS-IOD,Monastir,Munich,2025-10-09 11:57:00,2025-10-09 14:22:00,2025-10-09 11:57:00,2025-10-09 14:35:00,landed,C24,0,120
TU701,TS-IMF,Monastir,Istanbul,2025-10-09 15:51:00,2025-10-09 19:31:00,2025-10-09 15:51:00,2025-10-09 19:36:00,landed,A20,0,153
TU702,TS-IMC,Tunis,Cairo,2025-10-09 16:28:00,2025-10-09 19:30:00,2025-10-09 16:48:00,2025-10-09 19:41:00,landed,C15,20,142
TU703,TS-IMD,Djerba,Amsterdam,2025-10-09 16:39:00,2025-10-09 20:00:00,2025-10-09 16:49:00,2025-10-09 20:09:00,landed,B15,10,127
TU704,TS-IMC,Sfax,Munich,2025-10-09 18:55:00,2025-10-09 22:05:00,2025-10-09 19:05:00,2025-10-09 22:19:00,landed,A19,10,94
TU705,TS-IME,Tunis,Tripoli,2025-10-09 21:49:00,2025-10-09 23:32:00,2025-10-09 22:09:00,2025-10-09 23:35:00,landed,D21,20,128
TU706,TS-IOD,Enfidha,Barcelona,2025-10-10 08:14:00,2025-10-10 10:24:00,2025-10-10 08:24:00,2025-10-10 10:38:00,landed,C10,10,167
TU707,TS-IMC,Monastir,Lyon,2025-10-10 09:19:00,2025-10-10 10:55:00,,,cancelled,A3,0,0
TU708,TS-IME,Tunis,Lyon,2025-10-10 11:05:00,2025-10-10 12:40:00,2025-10-10 11:20:00,2025-10-10 12:51:00,landed,C21,15,133
TU709,TS-IOA,Monastir,Zurich,2025-10-10 11:47:00,2025-10-10 13:56:00,2025-10-10 12:02:00,2025-10-10 14:08:00,landed,A16,15,88
TU710,TS-IOB,Enfidha,Frankfurt,2025-10-10 13:35:00,2025-10-10 16:08:00,2025-10-10 13:45:00,2025-10-10 16:22:00,landed,B22,10,42
TU711,TS-IME,Djerba,Casablanca,2025-10-10 15:23:00,2025-10-10 17:30:00,2025-10-10 15:28:00,2025-10-10 17:40:00,landed,A13,5,140
TU712,TS-IMC,Monastir,Brussels,2025-10-10 16:01:00,2025-10-10 18:18:00,2025-10-10 16:11:00,2025-10-10 18:19:00,landed,B6,10,59
TU713,TS-IOA,Monastir,Paris,2025-10-10 16:54:00,2025-10-10 18:53:00,2025-10-10 17:09:00,2025-10-10 19:00:00,landed,B8,15,57
TU714,TS-IMB,Sfax,Dubai,2025-10-10 17:13:00,2025-10-10 21:24:00,2025-10-10 17:13:00,2025-10-10 21:36:00,landed,B7,0,68
TU715,TS-IOD,Monastir,Milan,2025-10-10 17:33:00,2025-10-10 19:52:00,2025-10-10 17:48:00,2025-10-10 19:57:00,landed,C15,15,100
TU716,TS-IOE,Sfax,Brussels,2025-10-10 18:24:00,2025-10-10 20:48:00,2025-10-10 18:29:00,2025-10-10 20:59:00,landed,A24,5,123
TU717,TS-IME,Sfax,Geneva,2025-10-10 21:32:00,2025-10-10 23:01:00,2025-10-10 21:32:00,2025-10-10 23:01:00,landed,C6,0,104
TU718,TS-IMF,Monastir,Amsterdam,2025-10-10 21:39:00,2025-10-11 00:41:00,,,delayed,B22,15,94
TU719,TS-IMD,Djerba,Amsterdam,2025-10-10 22:39:00,2025-10-11 01:38:00,2025-10-10 22:39:00,2025-10-11 01:51:00,landed,B23,0,70
TU720,TS-IOE,Sfax,Geneva,2025-10-11 06:03:00,2025-10-11 08:19:00,2025-10-11 06:03:00,2025-10-11 08:24:00,landed,A1,0,120
TU721,TS-IMC,Monastir,Abu Dhabi,2025-10-11 08:53:00,2025-10-11 12:46:00,2025-10-11 09:13:00,2025-10-11 12:43:00,landed,A11,20,125
TU722,TS-IME,Enfidha,Rome,2025-10-11 09:10:00,2025-10-11 10:38:00,2025-10-11 09:20:00,2025-10-11 10:39:00,landed,C4,10,82
TU723,TS-IMC,Tunis,Frankfurt,2025-10-11 09:52:00,2025-10-11 12:41:00,2025-10-11 10:12:00,2025-10-11 12:40:00,landed,A20,20,120
TU724,TS-IMB,Monastir,Cairo,2025-10-11 11:25:00,2025-10-11 14:51:00,2025-10-11 11:25:00,2025-10-11 14:58:00,landed,B8,0,146
TU725,TS-IOD,Djerba,Dubai,2025-10-11 12:23:00,2025-10-11 16:27:00,2025-10-11 12:23:00,2025-10-11 16:24:00,landed,A15,0,133
TU726,TS-IMB,Djerba,Paris,2025-10-11 12:54:00,2025-10-11 13:57:00,2025-10-11 13:04:00,2025-10-11 14:02:00,landed,C7,10,89
TU727,TS-IMB,Sfax,Casablanca,2025-10-11 13:16:00,2025-10-11 16:34:00,,,delayed,D19,20,150
TU728,TS-IMD,Tunis,Geneva,2025-10-11 13:28:00,2025-10-11 15:35:00,2025-10-11 13:28:00,2025-10-11 15:51:00,landed,C12,0,158
TU729,TS-IOA,Tunis,London,2025-10-11 13:53:00,2025-10-11 17:17:00,2025-10-11 13:53:00,2025-10-11 17:33:00,landed,D12,0,138
TU730,TS-IMC,Sfax,Geneva,2025-10-11 16:39:00,2025-10-11 19:00:00,2025-10-11 16:39:00,2025-10-11 19:07:00,landed,B1,0,105
TU731,TS-IOA,Djerba,Dubai,2025-10-11 18:43:00,2025-10-11 21:49:00,2025-10-11 18:58:00,2025-10-11 21:51:00,landed,D17,15,145
TU732,TS-IME,Monastir,Amsterdam,2025-10-11 19:18:00,2025-10-11 21:58:00,2025-10-11 19:33:00,2025-10-11 22:12:00,landed,A19,15,117
TU733,TS-IMC,Monastir,Madrid,2025-10-11 21:20:00,2025-10-11 23:34:00,2025-10-11 21:35:00,2025-10-11 23:34:00,landed,A10,15,92
TU734,TS-IOD,Sfax,Lyon,2025-10-11 21:42:00,2025-10-11 23:41:00,2025-10-11 21:42:00,2025-10-11 23:55:00,landed,A15,0,78
TU735,TS-IMB,Djerba,Abu Dhabi,2025-10-12 06:12:00,2025-10-12 10:20:00,2025-10-12 06:22:00,2025-10-12 10:27:00,landed,B8,10,101
TU736,TS-IMD,Tunis,Tripoli,2025-10-12 06:46:00,2025-10-12 08:22:00,,,delayed,B15,20,88
TU737,TS-IMB,Tunis,Frankfurt,2025-10-12 08:02:00,2025-10-12 10:58:00,,,delayed,B19,45,126
TU738,TS-IOE,Djerba,Istanbul,2025-10-12 08:35:00,2025-10-12 12:28:00,2025-10-12 08:50:00,2025-10-12 12:39:00,landed,A8,15,54
TU739,TS-IOC,Monastir,Doha,2025-10-12 08:38:00,2025-10-12 13:05:00,2025-10-12 08:38:00,2025-10-12 13:21:00,landed,B13,0,143
TU740,TS-IMF,Enfidha,Frankfurt,2025-10-12 09:45:00,2025-10-12 12:22:00,2025-10-12 09:50:00,2025-10-12 12:30:00,landed,A20,5,89
TU741,TS-IMF,Tunis,Algiers,2025-10-12 14:27:00,2025-10-12 16:28:00,2025-10-12 14:27:00,2025-10-12 16:25:00,landed,A5,0,66
TU742,TS-IOE,Enfidha,Zurich,2025-10-12 15:56:00,2025-10-12 17:52:00,2025-10-12 15:56:00,2025-10-12 17:51:00,landed,A24,0,129
TU743,TS-IOE,Tunis,Barcelona,2025-10-12 16:36:00,2025-10-12 18:57:00,2025-10-12 16:56:00,2025-10-12 19:01:00,landed,C24,20,146
TU744,TS-IOE,Monastir,Paris,2025-10-12 16:44:00,2025-10-12 19:06:00,2025-10-12 16:49:00,2025-10-12 19:19:00,landed,A20,5,150
TU745,TS-IOA,Djerba,Brussels,2025-10-12 18:06:00,2025-10-12 19:56:00,2025-10-12 18:06:00,2025-10-12 20:06:00,landed,A12,0,80
TU746,TS-IOC,Monastir,London,2025-10-12 19:29:00,2025-10-12 21:52:00,2025-10-12 19:29:00,2025-10-12 21:58:00,landed,C16,0,134
TU747,TS-IOC,Monastir,Brussels,2025-10-12 20:50:00,2025-10-12 23:12:00,2025-10-12 20:50:00,2025-10-12 23:14:00,landed,A21,0,117
TU748,TS-IMC,Sfax,Algiers,2025-10-12 20:54:00,2025-10-12 23:19:00,2025-10-12 21:14:00,2025-10-12 23:27:00,landed,A15,20,41
TU749,TS-IOA,Enfidha,Lyon,2025-10-13 09:48:00,2025-10-13 11:45:00,2025-10-13 09:48:00,2025-10-13 11:44:00,landed,B1,0,123
TU750,TS-IMF,Tunis,London,2025-10-13 10:15:00,2025-10-13 13:44:00,2025-10-13 10:15:00,2025-10-13 13:53:00,landed,B3,0,93
TU751,TS-IOA,Monastir,London,2025-10-13 11:42:00,2025-10-13 14:34:00,2025-10-13 11:52:00,2025-10-13 14:44:00,landed,A15,10,121
TU752,TS-IMD,Tunis,Casablanca,2025-10-13 11:53:00,2025-10-13 14:26:00,2025-10-13 11:58:00,2025-10-13 14:33:00,landed,C18,5,29
TU753,TS-IME,Sfax,Munich,2025-10-13 13:48:00,2025-10-13 15:52:00,2025-10-13 14:03:00,2025-10-13 16:04:00,landed,C2,15,116
TU754,TS-IOD,Enfidha,Algiers,2025-10-13 14:16:00,2025-10-13 15:34:00,2025-10-13 14:31:00,2025-10-13 15:48:00,landed,A6,15,109
TU755,TS-IOE,Monastir,Tripoli,2025-10-13 15:30:00,2025-10-13 17:09:00,2025-10-13 15:30:00,2025-10-13 17:14:00,landed,D8,0,148
TU756,TS-IMB,Tunis,Rome,2025-10-13 16:23:00,2025-10-13 18:14:00,,,cancelled,C13,0,0
TU757,TS-IMF,Djerba,Rome,2025-10-13 17:28:00,2025-10-13 18:52:00,2025-10-13 17:48:00,2025-10-13 18:51:00,landed,B6,20,123
TU758,TS-IMF,Monastir,Lyon,2025-10-13 21:27:00,2025-10-13 23:29:00,2025-10-13 21:27:00,2025-10-13 23:29:00,landed,D17,0,156
TU759,TS-IMD,Djerba,Venice,2025-10-14 07:54:00,2025-10-14 09:57:00,2025-10-14 07:54:00,2025-10-14 10:00:00,landed,B11,0,118
TU760,TS-IOA,Sfax,Paris,2025-10-14 08:13:00,2025-10-14 10:42:00,2025-10-14 08:13:00,2025-10-14 10:48:00,landed,B24,0,149
TU761,TS-IME,Monastir,Marseille,2025-10-14 11:57:00,2025-10-14 13:12:00,2025-10-14 12:02:00,2025-10-14 13:29:00,landed,B7,5,162
TU762,TS-IMF,Sfax,Milan,2025-10-14 13:23:00,2025-10-14 14:32:00,2025-10-14 13:33:00,2025-10-14 14:44:00,landed,D24,10,68
TU763,TS-IOE,Djerba,London,2025-10-14 16:59:00,2025-10-14 20:15:00,2025-10-14 17:04:00,2025-10-14 20:33:00,landed,C9,5,120
TU764,TS-IOC,Monastir,Brussels,2025-10-14 17:00:00,2025-10-14 18:22:00,2025-10-14 17:20:00,2025-10-14 18:37:00,landed,A19,20,137
TU765,TS-IME,Tunis,Marseille,2025-10-14 19:07:00,2025-10-14 20:47:00,2025-10-14 19:07:00,2025-10-14 20:54:00,landed,B14,0,46
TU766,TS-IOB,Monastir,Barcelona,2025-10-14 20:11:00,2025-10-14 22:25:00,,,delayed,A11,30,56
TU767,TS-IMD,Monastir,Paris,2025-10-14 21:24:00,2025-10-14 23:53:00,2025-10-14 21:44:00,2025-10-15 00:11:00,landed,B13,20,72
TU768,TS-IMF,Tunis,Cairo,2025-10-14 22:39:00,2025-10-15 02:20:00,2025-10-14 22:39:00,2025-10-15 02:20:00,landed,C21,0,112
TU769,TS-IMD,Sfax,Lyon,2025-10-15 08:10:00,2025-10-15 10:11:00,2025-10-15 08:10:00,2025-10-15 10:16:00,landed,A10,0,144
TU770,TS-IMC,Enfidha,Milan,2025-10-15 09:11:00,2025-10-15 10:11:00,2025-10-15 09:11:00,2025-10-15 10:11:00,landed,D24,0,119
TU771,TS-IOC,Tunis,Geneva,2025-10-15 10:03:00,2025-10-15 11:48:00,,,delayed,C19,15,129
TU772,TS-IMD,Monastir,Paris,2025-10-15 11:16:00,2025-10-15 12:34:00,,,delayed,D9,35,113
