flight_number,employee_id,role,position
TU544,TU-P001,captain,Left Seat
TU544,TU-FO005,first_officer,Right Seat
TU544,TU-CC003,cabin_chief,Position 1
TU544,TU-FA001,flight_attendant,Position 2
TU544,TU-FA002,flight_attendant,Position 3
TU544,TU-FA003,flight_attendant,Position 4
TU545,TU-P002,captain,Left Seat
TU545,TU-FO001,first_officer,Right Seat
TU545,TU-CC001,cabin_chief,Position 1
TU545,TU-FA004,flight_attendant,Position 2
TU545,TU-FA005,flight_attendant,Position 3
TU546,TU-P003,captain,Left Seat
TU546,TU-FO002,first_officer,Right Seat
TU546,TU-CC002,cabin_chief,Position 1
TU546,TU-FA008,flight_attendant,Position 2
TU546,TU-FA009,flight_attendant,Position 3
TU546,TU-FA011,flight_attendant,Position 4
TU547,TU-P004,captain,Left Seat
TU547,TU-FO003,first_officer,Right Seat
TU547,TU-CC003,cabin_chief,Position 1
TU547,TU-FA012,flight_attendant,Position 2
TU547,TU-FA013,flight_attendant,Position 3
TU547,TU-FA001,flight_attendant,Position 4
TU548,TU-P001,captain,Left Seat
TU548,TU-FO004,first_officer,Right Seat
TU548,TU-CC001,cabin_chief,Position 1
TU548,TU-FA002,flight_attendant,Position 2
TU548,TU-FA003,flight_attendant,Position 3
TU549,TU-P002,captain,Left Seat
TU549,TU-FO005,first_officer,Right Seat
TU549,TU-CC002,cabin_chief,Position 1
TU549,TU-FA005,flight_attendant,Position 2
TU549,TU-FA007,flight_attendant,Position 3
TU549,TU-FA008,flight_attendant,Position 4
TU550,TU-P003,captain,Left Seat
TU550,TU-FO001,first_officer,Right Seat
TU550,TU-CC003,cabin_chief,Position 1
TU550,TU-FA009,flight_attendant,Position 2
TU550,TU-FA011,flight_attendant,Position 3
TU550,TU-FA012,flight_attendant,Position 4
TU551,TU-P004,captain,Left Seat
TU551,TU-FO002,first_officer,Right Seat
TU551,TU-CC001,cabin_chief,Position 1
TU551,TU-FA013,flight_attendant,Position 2
TU551,TU-FA001,flight_attendant,Position 3
TU552,TU-P001,captain,Left Seat
TU552,TU-FO003,first_officer,Right Seat
TU552,TU-CC002,cabin_chief,Position 1
TU552,TU-FA003,flight_attendant,Position 2
TU552,TU-FA004,flight_attendant,Position 3
TU552,TU-FA005,flight_attendant,Position 4
TU553,TU-P002,captain,Left Seat
TU553,TU-FO004,first_officer,Right Seat
TU553,TU-CC003,cabin_chief,Position 1
TU553,TU-FA007,flight_attendant,Position 2
TU553,TU-FA008,flight_attendant,Position 3
TU553,TU-FA009,flight_attendant,Position 4
TU554,TU-P003,captain,Left Seat
TU554,TU-FO005,first_officer,Right Seat
TU554,TU-CC001,cabin_chief,Position 1
TU554,TU-FA011,flight_attendant,Position 2
TU554,TU-FA012,flight_attendant,Position 3
TU555,TU-P004,captain,Left Seat
TU555,TU-FO001,first_officer,Right Seat
TU555,TU-CC002,cabin_chief,Position 1
TU555,TU-FA001,flight_attendant,Position 2
TU555,TU-FA002,flight_attendant,Position 3
TU555,TU-FA003,flight_attendant,Position 4
TU556,TU-P001,captain,Left Seat
TU556,TU-FO002,first_officer,Right Seat
TU556,TU-CC003,cabin_chief,Position 1
TU556,TU-FA004,flight_attendant,Position 2
TU556,TU-FA005,flight_attendant,Position 3
TU556,TU-FA007,flight_attendant,Position 4
TU557,TU-P002,captain,Left Seat
TU557,TU-FO003,first_officer,Right Seat
TU557,TU-CC001,cabin_chief,Position 1
TU557,TU-FA008,flight_attendant,Position 2
TU557,TU-FA009,flight_attendant,Position 3
TU558,TU-P003,captain,Left Seat
TU558,TU-FO004,first_officer,Right Seat
TU558,TU-CC002,cabin_chief,Position 1
TU558,TU-FA012,flight_attendant,Position 2
TU558,TU-FA013,flight_attendant,Position 3
TU558,TU-FA001,flight_attendant,Position 4
TU559,TU-P004,captain,Left Seat
TU559,TU-FO005,first_officer,Right Seat
TU559,TU-CC003,cabin_chief,Position 1
TU559,TU-FA002,flight_attendant,Position 2
TU559,TU-FA003,flight_attendant,Position 3
TU559,TU-FA004,flight_attendant,Position 4
TU560,TU-P001,captain,Left Seat
TU560,TU-FO001,first_officer,Right Seat
TU560,TU-CC001,cabin_chief,Position 1
TU560,TU-FA005,flight_attendant,Position 2
TU560,TU-FA007,flight_attendant,Position 3
TU561,TU-P002,captain,Left Seat
TU561,TU-FO002,first_officer,Right Seat
TU561,TU-CC002,cabin_chief,Position 1
TU561,TU-FA009,flight_attendant,Position 2
TU561,TU-FA011,flight_attendant,Position 3
TU561,TU-FA012,flight_attendant,Position 4
TU562,TU-P003,captain,Left Seat
TU562,TU-FO003,first_officer,Right Seat
TU562,TU-CC003,cabin_chief,Position 1
TU562,TU-FA013,flight_attendant,Position 2
TU562,TU-FA001,flight_attendant,Position 3
TU562,TU-FA002,flight_attendant,Position 4
TU563,TU-P004,captain,Left Seat
TU563,TU-FO004,first_officer,Right Seat
TU563,TU-CC001,cabin_chief,Position 1
TU563,TU-FA003,flight_attendant,Position 2
TU563,TU-FA004,flight_attendant,Position 3
TU564,TU-P001,captain,Left Seat
TU564,TU-FO005,first_officer,Right Seat
TU564,TU-CC002,cabin_chief,Position 1
TU564,TU-FA007,flight_attendant,Position 2
TU564,TU-FA008,flight_attendant,Position 3
TU564,TU-FA009,flight_attendant,Position 4
TU565,TU-P002,captain,Left Seat
TU565,TU-FO001,first_officer,Right Seat
TU565,TU-CC003,cabin_chief,Position 1
TU565,TU-FA011,flight_attendant,Position 2
TU565,TU-FA012,flight_attendant,Position 3
TU565,TU-FA013,flight_attendant,Position 4
TU566,TU-P003,captain,Left Seat
TU566,TU-FO002,first_officer,Right Seat
TU566,TU-CC001,cabin_chief,Position 1
TU566,TU-FA001,flight_attendant,Position 2
TU566,TU-FA002,flight_attendant,Position 3
TU567,TU-P004,captain,Left Seat
TU567,TU-FO003,first_officer,Right Seat
TU567,TU-CC002,cabin_chief,Position 1
TU567,TU-FA004,flight_attendant,Position 2
TU567,TU-FA005,flight_attendant,Position 3
TU567,TU-FA007,flight_attendant,Position 4
TU568,TU-P001,captain,Left Seat
TU568,TU-FO004,first_officer,Right Seat
TU568,TU-CC003,cabin_chief,Position 1
TU568,TU-FA008,flight_attendant,Position 2
TU568,TU-FA009,flight_attendant,Position 3
TU568,TU-FA011,flight_attendant,Position 4
TU569,TU-P002,captain,Left Seat
TU569,TU-FO005,first_officer,Right Seat
TU569,TU-CC001,cabin_chief,Position 1
TU569,TU-FA012,flight_attendant,Position 2
TU569,TU-FA013,flight_attendant,Position 3
TU570,TU-P003,captain,Left Seat
TU570,TU-FO001,first_officer,Right Seat
TU570,TU-CC002,cabin_chief,Position 1
TU570,TU-FA002,flight_attendant,Position 2
TU570,TU-FA003,flight_attendant,Position 3
TU570,TU-FA004,flight_attendant,Position 4
TU571,TU-P004,captain,Left Seat
TU571,TU-FO002,first_officer,Right Seat
TU571,TU-CC003,cabin_chief,Position 1
TU571,TU-FA005,flight_attendant,Position 2
TU571,TU-FA007,flight_attendant,Position 3
TU571,TU-FA008,flight_attendant,Position 4
TU572,TU-P001,captain,Left Seat
TU572,TU-FO003,first_officer,Right Seat
TU572,TU-CC001,cabin_chief,Position 1
TU572,TU-FA009,flight_attendant,Position 2
TU572,TU-FA011,flight_attendant,Position 3
TU573,TU-P002,captain,Left Seat
TU573,TU-FO004,first_officer,Right Seat
TU573,TU-CC002,cabin_chief,Position 1
TU573,TU-FA013,flight_attendant,Position 2
TU573,TU-FA001,flight_attendant,Position 3
TU573,TU-FA002,flight_attendant,Position 4
TU574,TU-P003,captain,Left Seat
TU574,TU-FO005,first_officer,Right Seat
TU574,TU-CC003,cabin_chief,Position 1
TU574,TU-FA003,flight_attendant,Position 2
TU574,TU-FA004,flight_attendant,Position 3
TU574,TU-FA005,flight_attendant,Position 4
TU575,TU-P004,captain,Left Seat
TU575,TU-FO001,first_officer,Right Seat
TU575,TU-CC001,cabin_chief,Position 1
TU575,TU-FA007,flight_attendant,Position 2
TU575,TU-FA008,flight_attendant,Position 3
TU576,TU-P001,captain,Left Seat
TU576,TU-FO002,first_officer,Right Seat
TU576,TU-CC002,cabin_chief,Position 1
TU576,TU-FA011,flight_attendant,Position 2
TU576,TU-FA012,flight_attendant,Position 3
TU576,TU-FA013,flight_attendant,Position 4
TU577,TU-P002,captain,Left Seat
TU577,TU-FO003,first_officer,Right Seat
TU577,TU-CC003,cabin_chief,Position 1
TU577,TU-FA001,flight_attendant,Position 2
TU577,TU-FA002,flight_attendant,Position 3
TU577,TU-FA003,flight_attendant,Position 4
TU578,TU-P003,captain,Left Seat
TU578,TU-FO004,first_officer,Right Seat
TU578,TU-CC001,cabin_chief,Position 1
TU578,TU-FA004,flight_attendant,Position 2
TU578,TU-FA005,flight_attendant,Position 3
TU579,TU-P004,captain,Left Seat
TU579,TU-FO005,first_officer,Right Seat
TU579,TU-CC002,cabin_chief,Position 1
TU579,TU-FA008,flight_attendant,Position 2
TU579,TU-FA009,flight_attendant,Position 3
TU579,TU-FA011,flight_attendant,Position 4
TU580,TU-P001,captain,Left Seat
TU580,TU-FO001,first_officer,Right Seat
TU580,TU-CC003,cabin_chief,Position 1
TU580,TU-FA012,flight_attendant,Position 2
TU580,TU-FA013,flight_attendant,Position 3
TU580,TU-FA001,flight_attendant,Position 4
TU581,TU-P002,captain,Left Seat
TU581,TU-FO002,first_officer,Right Seat
TU581,TU-CC001,cabin_chief,Position 1
TU581,TU-FA002,flight_attendant,Position 2
TU581,TU-FA003,flight_attendant,Position 3
TU582,TU-P003,captain,Left Seat
TU582,TU-FO003,first_officer,Right Seat
TU582,TU-CC002,cabin_chief,Position 1
TU582,TU-FA005,flight_attendant,Position 2
TU582,TU-FA007,flight_attendant,Position 3
TU582,TU-FA008,flight_attendant,Position 4
TU583,TU-P004,captain,Left Seat
TU583,TU-FO004,first_officer,Right Seat
TU583,TU-CC003,cabin_chief,Position 1
TU583,TU-FA009,flight_attendant,Position 2
TU583,TU-FA011,flight_attendant,Position 3
TU583,TU-FA012,flight_attendant,Position 4
TU584,TU-P001,captain,Left Seat
TU584,TU-FO005,first_officer,Right Seat
TU584,TU-CC001,cabin_chief,Position 1
TU584,TU-FA013,flight_attendant,Position 2
TU584,TU-FA001,flight_attendant,Position 3
TU585,TU-P002,captain,Left Seat
TU585,TU-FO001,first_officer,Right Seat
TU585,TU-CC002,cabin_chief,Position 1
TU585,TU-FA003,flight_attendant,Position 2
TU585,TU-FA004,flight_attendant,Position 3
TU585,TU-FA005,flight_attendant,Position 4
TU586,TU-P003,captain,Left Seat
TU586,TU-FO002,first_officer,Right Seat
TU586,TU-CC003,cabin_chief,Position 1
TU586,TU-FA007,flight_attendant,Position 2
TU586,TU-FA008,flight_attendant,Position 3
TU586,TU-FA009,flight_attendant,Position 4
TU587,TU-P004,captain,Left Seat
TU587,TU-FO003,first_officer,Right Seat
TU587,TU-CC001,cabin_chief,Position 1
TU587,TU-FA011,flight_attendant,Position 2
TU587,TU-FA012,flight_attendant,Position 3
TU588,TU-P001,captain,Left Seat
TU588,TU-FO004,first_officer,Right Seat
TU588,TU-CC002,cabin_chief,Position 1
TU588,TU-FA001,flight_attendant,Position 2
TU588,TU-FA002,flight_attendant,Position 3
TU588,TU-FA003,flight_attendant,Position 4
TU589,TU-P002,captain,Left Seat
TU589,TU-FO005,first_officer,Right Seat
TU589,TU-CC003,cabin_chief,Position 1
TU589,TU-FA004,flight_attendant,Position 2
TU589,TU-FA005,flight_attendant,Position 3
TU589,TU-FA007,flight_attendant,Position 4
TU590,TU-P003,captain,Left Seat
TU590,TU-FO001,first_officer,Right Seat
TU590,TU-CC001,cabin_chief,Position 1
TU590,TU-FA008,flight_attendant,Position 2
TU590,TU-FA009,flight_attendant,Position 3
TU591,TU-P004,captain,Left Seat
TU591,TU-FO002,first_officer,Right Seat
TU591,TU-CC002,cabin_chief,Position 1
TU591,TU-FA012,flight_attendant,Position 2
TU591,TU-FA013,flight_attendant,Position 3
TU591,TU-FA001,flight_attendant,Position 4
TU592,TU-P001,captain,Left Seat
TU592,TU-FO003,first_officer,Right Seat
TU592,TU-CC003,cabin_chief,Position 1
TU592,TU-FA002,flight_attendant,Position 2
TU592,TU-FA003,flight_attendant,Position 3
TU592,TU-FA004,flight_attendant,Position 4
TU593,TU-P002,captain,Left Seat
TU593,TU-FO004,first_officer,Right Seat
TU593,TU-CC001,cabin_chief,Position 1
TU593,TU-FA005,flight_attendant,Position 2
TU593,TU-FA007,flight_attendant,Position 3
TU594,TU-P003,captain,Left Seat
TU594,TU-FO005,first_officer,Right Seat
TU594,TU-CC002,cabin_chief,Position 1
TU594,TU-FA009,flight_attendant,Position 2
TU594,TU-FA011,flight_attendant,Position 3
TU594,TU-FA012,flight_attendant,Position 4
TU595,TU-P004,captain,Left Seat
TU595,TU-FO001,first_officer,Right Seat
TU595,TU-CC003,cabin_chief,Position 1
TU595,TU-FA013,flight_attendant,Position 2
TU595,TU-FA001,flight_attendant,Position 3
TU595,TU-FA002,flight_attendant,Position 4
TU596,TU-P001,captain,Left Seat
TU596,TU-FO002,first_officer,Right Seat
TU596,TU-CC001,cabin_chief,Position 1
TU596,TU-FA003,flight_attendant,Position 2
TU596,TU-FA004,flight_attendant,Position 3
TU597,TU-P002,captain,Left Seat
TU597,TU-FO003,first_officer,Right Seat
TU597,TU-CC002,cabin_chief,Position 1
TU597,TU-FA007,flight_attendant,Position 2
TU597,TU-FA008,flight_attendant,Position 3
TU597,TU-FA009,flight_attendant,Position 4
TU598,TU-P003,captain,Left Seat
TU598,TU-FO004,first_officer,Right Seat
TU598,TU-CC003,cabin_chief,Position 1
TU598,TU-FA011,flight_attendant,Position 2
TU598,TU-FA012,flight_attendant,Position 3
TU598,TU-FA013,flight_attendant,Position 4
TU599,TU-P004,captain,Left Seat
TU599,TU-FO005,first_officer,Right Seat
TU599,TU-CC001,cabin_chief,Position 1
TU599,TU-FA001,flight_attendant,Position 2
TU599,TU-FA002,flight_attendant,Position 3
TU600,TU-P001,captain,Left Seat
TU600,TU-FO001,first_officer,Right Seat
TU600,TU-CC002,cabin_chief,Position 1
TU600,TU-FA004,flight_attendant,Position 2
TU600,TU-FA005,flight_attendant,Position 3
TU600,TU-FA007,flight_attendant,Position 4
TU601,TU-P002,captain,Left Seat
TU601,TU-FO002,first_officer,Right Seat
TU601,TU-CC003,cabin_chief,Position 1
TU601,TU-FA008,flight_attendant,Position 2
TU601,TU-FA009,flight_attendant,Position 3
TU601,TU-FA011,flight_attendant,Position 4
TU602,TU-P003,captain,Left Seat
TU602,TU-FO003,first_officer,Right Seat
TU602,TU-CC001,cabin_chief,Position 1
TU602,TU-FA012,flight_attendant,Position 2
TU602,TU-FA013,flight_attendant,Position 3
TU603,TU-P004,captain,Left Seat
TU603,TU-FO004,first_officer,Right Seat
TU603,TU-CC002,cabin_chief,Position 1
TU603,TU-FA002,flight_attendant,Position 2
TU603,TU-FA003,flight_attendant,Position 3
TU603,TU-FA004,flight_attendant,Position 4
TU604,TU-P001,captain,Left Seat
TU604,TU-FO005,first_officer,Right Seat
TU604,TU-CC003,cabin_chief,Position 1
TU604,TU-FA005,flight_attendant,Position 2
TU604,TU-FA007,flight_attendant,Position 3
TU604,TU-FA008,flight_attendant,Position 4
TU605,TU-P002,captain,Left Seat
TU605,TU-FO001,first_officer,Right Seat
TU605,TU-CC001,cabin_chief,Position 1
TU605,TU-FA009,flight_attendant,Position 2
TU605,TU-FA011,flight_attendant,Position 3
TU606,TU-P003,captain,Left Seat
TU606,TU-FO002,first_officer,Right Seat
TU606,TU-CC002,cabin_chief,Position 1
TU606,TU-FA013,flight_attendant,Position 2
TU606,TU-FA001,flight_attendant,Position 3
TU606,TU-FA002,flight_attendant,Position 4
TU607,TU-P004,captain,Left Seat
TU607,TU-FO003,first_officer,Right Seat
TU607,TU-CC003,cabin_chief,Position 1
TU607,TU-FA003,flight_attendant,Position 2
TU607,TU-FA004,flight_attendant,Position 3
TU607,TU-FA005,flight_attendant,Position 4
TU608,TU-P001,captain,Left Seat
TU608,TU-FO004,first_officer,Right Seat
TU608,TU-CC001,cabin_chief,Position 1
TU608,TU-FA007,flight_attendant,Position 2
TU608,TU-FA008,flight_attendant,Position 3
TU609,TU-P002,captain,Left Seat
TU609,TU-FO005,first_officer,Right Seat
TU609,TU-CC002,cabin_chief,Position 1
TU609,TU-FA011,flight_attendant,Position 2
TU609,TU-FA012,flight_attendant,Position 3
TU609,TU-FA013,flight_attendant,Position 4
TU610,TU-P003,captain,Left Seat
TU610,TU-FO001,first_officer,Right Seat
TU610,TU-CC003,cabin_chief,Position 1
TU610,TU-FA001,flight_attendant,Position 2
TU610,TU-FA002,flight_attendant,Position 3
TU610,TU-FA003,flight_attendant,Position 4
TU611,TU-P004,captain,Left Seat
TU611,TU-FO002,first_officer,Right Seat
